"","month","Mean"
"235","08-22",77.12
"236","08-23",77.4222222222222
"237","08-24",77.7155555555556
"238","08-25",78.02
"239","08-26",78.2977777777778
"240","08-27",78.5788888888889
"241","08-28",78.8388888888889
"242","08-29",79.1177777777778
"243","08-30",79.3988888888889
"244","08-31",79.6155555555556
"245","09-01",79.9077777777778
"246","09-02",80.1811111111111
"247","09-03",80.4022222222222
"248","09-04",80.6811111111111
"249","09-05",80.9611111111111
"250","09-06",81.2077777777778
"251","09-07",81.4388888888889
"252","09-08",81.7744444444444
"253","09-09",81.9977777777778
"254","09-10",82.23
"255","09-11",82.46
"256","09-12",83.099
"257","09-13",83.326
"258","09-14",83.547
"259","09-15",83.769
"260","09-16",83.985
"261","09-17",84.17
"262","09-18",84.365
"263","09-19",84.557
"264","09-20",84.761
"265","09-21",84.867
"266","09-22",85.129
"267","09-23",85.319
"268","09-24",85.516
"269","09-25",85.714
"270","09-26",85.897
"271","09-27",86.088
"272","09-28",86.28
"273","09-29",86.475
"274","09-30",86.624
"275","10-01",86.774
"276","10-02",86.949
"277","10-03",87.123
"278","10-04",87.27
"279","10-05",87.442
"280","10-06",87.587
"281","10-07",87.695
"282","10-08",87.802
"283","10-09",87.909
"284","10-10",88.033
"285","10-11",88.117
"286","10-12",88.21
"287","10-13",88.279
"288","10-14",88.354
"289","10-15",88.413
"290","10-16",88.477
"291","10-17",88.531
"292","10-18",88.611
"293","10-19",88.679
"294","10-20",88.746
"295","10-21",88.815
"296","10-22",88.851
"297","10-23",88.872
"298","10-24",88.91
"299","10-25",88.962
"300","10-26",88.984
"301","10-27",89.003
"302","10-28",88.997
"303","10-29",88.952
"304","10-30",88.919
"305","10-31",88.942
"306","11-01",88.927
"307","11-02",88.892
"308","11-03",88.801
"309","11-04",88.702
"310","11-05",88.581
"311","11-06",88.477
"312","11-07",88.364
"313","11-08",88.206
"314","11-09",88.066
"315","11-10",87.914
"316","11-11",87.774
"317","11-12",87.591
"318","11-13",87.404
"319","11-14",87.21
"320","11-15",87.018
"321","11-16",86.806
"322","11-17",86.595
"323","11-18",86.378
"324","11-19",86.124
"325","11-20",85.84
"326","11-21",85.545
"327","11-22",85.251
"328","11-23",84.955
"329","11-24",84.649
"330","11-25",84.304
"331","11-26",83.928
"332","11-27",83.555
"333","11-28",83.18
"334","11-29",82.763
"335","11-30",82.293
"336","12-01",81.892
"337","12-02",81.44
"338","12-03",80.965
"339","12-04",80.489
"340","12-05",80.027
"341","12-06",79.528
"342","12-07",79.135
"343","12-08",78.741
"344","12-09",78.272
"345","12-10",77.767
"346","12-11",77.246
"347","12-12",76.701
"348","12-13",76.192
"349","12-14",75.722
"350","12-15",75.293
"351","12-16",74.85
"352","12-17",74.425
"353","12-18",74.003
"354","12-19",73.606
"355","12-20",73.19
"356","12-21",72.789
"357","12-22",72.449
"358","12-23",72.182
"359","12-24",71.995
"360","12-25",71.839
"361","12-26",71.633
"362","12-27",71.344
"363","12-28",71.011
"364","12-29",70.679
"365","12-30",70.384
"366","12-31",70.113
